prompt,prompt_len,target
"Free to Speak About Russia, but Now From a Safe Distance.",14,1
"They Lost Argentina’s Abortion Vote, but Advocates Started a Movement.",15,0
Kenya’s About-Face: Fear for Democracy as Dissent Is Muzzled.,17,0
"Gina Haspel, Trump’s Choice for C.I.A., Played Role in Torture Program.",22,1
"Drawing a Line on Syria, U.S. Keeps Eye on Iran Policy.",17,1
"In a Test of Wills, Japanese Fighter Pilots Confront Chinese .",13,0
"In Push to Assert Rights, China Plans to Send 2nd Oil Rig to Waters Near Vietnam .",21,0
Expert Panel to Consult on Ebola.,8,0
"As Greek Wildfire Closed In, a Desperate Dash Ended in Death.",16,1
Struggle Looms on Controlling Deficit Spending.,10,0
"On Croatia’s Coast, Uber Takes Its Ride-Hailing App to the Seas.",19,0
"Justices Leave Texas Voter ID Law Intact, With a Warning.",15,0
"Jammed in Roman Caves, Ducking Syria’s War.",14,1
"Trump’s Virginia Golf Outings Leave Paddlers High, Dry and Angry.",18,0
Death Penalty for Rampage at Fort Hood.,10,1
Pakistani Journalist Who Covered Security and Terrorism Is Found Dead.,13,0
Next Test for Guatemala’s Protest Movement: Improving Citizens’ Lives.,15,0
Rwanda Accuses France of Complicity in 1994 Genocide.,16,0
"China Revives Mao-Era Self-Criticism, but This Kind Bruises Few Egos.",20,0
More States Allowing Guns in Bars.,8,1
"In Tucson, Solace From Relatives of Past Killers.",12,1
"Obama, in New Orleans, Praises Results of Federal Intervention.",14,0
U.S. Was Braced for Fight With Pakistanis in Bin Laden Raid.,18,1
"In Egypt, Furious Retaliation but Failing Strategy in Sinai.",14,1
"Hope for Nefertiti’s Tomb, and Egypt’s Economy.",16,1
Gaza Fighting Intensifies as Cease-Fire Falls Apart.,14,1
"With Venezuelan Food Shortages, Some Blame Price Controls.",12,1
"Trump, Ukraine and Impeachment: The Inside Story of How We Got Here.",18,1
Greece: A Record Number of Migrants Come Ashore.,13,0
"A Mumbai Student Vents on Facebook, and the Police Come Knocking.",16,0
"In This North Carolina Coastal Town, ‘Downtown Is Literally Underwater’.",14,1
"From Canada’s Legal High, a Business Letdown.",13,0
An Online Shift in China Muffles an Open Forum.,12,0
"Hong Kong, Changed Overnight, Navigates Its New Reality.",13,1
"Cynthia Navaretta, Who Promoted Female Artists, Is Dead at 97.",17,0
"Trump Campaigned Against Lobbyists, but Now They’re on His Transition Team.",19,1
‘People Actively Hate Us’: Inside the Border Patrol’s Morale Crisis.,18,1
Italy Locks Down Much of the Country’s North Over the Coronavirus.,15,1
"Ethiopian Troops Said to Enter Somalia, Opening New Front Against Militants.",16,0
Data on Use of Force by Police Across U.S. Proves Almost Useless.,19,0
Emotions Flare After Immigration Law Is Blocked.,9,0
Tea Party Challenge in Mississippi G.O.P. Primary Goes to the Wire.,18,1
"NATO Refocuses on the Kremlin, Its Original Foe.",14,1
"When Cell Door Opens, Tough Tactics and Risk.",11,1
Sudan’s Lost Boys Are Drawn Into War at Home.,13,1
U.S. to Send Up to 300 Military Advisers to Iraq.,19,1
U.S. Declines to Sign Declaration Discouraging Use of Cyberattacks.,17,0
A Growing Chorus of Big City Prosecutors Say No to Marijuana Convictions.,17,1
City Divides and Unites for a Dog Called Blue.,13,0
"Pakistan, Brushing Aside Pleas for Mercy, Executes Man Convicted at 15.",20,0
New Museums to Shine a Spotlight on Civil Rights Era.,12,0
Court Blocks Trump Administration From Asking About Citizenship in Census.,12,1
"ISIS Leader al-Baghdadi Is Dead, Trump Says.",14,1
"With Guns, Cash and Terrorism, Gulf States Vie for Power in Somalia.",16,1
Britain Reels as Austerity Cuts Begin.,10,0
Paris Bridge’s Love Locks Are Taken Down.,11,0
Justices Won’t Block Pennsylvania Gerrymandering Decision.,13,0
Coca Licensing Is a Weapon in Bolivia’s Drug War.,13,1
A Sicilian Photographer of the Mafia and Her ‘Archive of Blood’.,14,0
President of Bolivia Claims Victory in Election .,9,0
"In Colombia Border Town, Desperate Venezuelans Sell Hair to Survive.",16,0
Tunisia Museum Attack Is Blow to Nation’s Democratic Shift.,13,1
Violence Erupts in Hong Kong as Protesters Are Assaulted.,14,1
"West Point Cadet, Simone Askew, Breaks a Racial and Gender Barrier.",16,0
Virginia’s Feast on U.S. Funds Nears an End.,16,1
Uproar in Egypt After Judge Sentences More Than 680 to Death.,18,0
New Taliban Attacks Kill Dozens of Afghan Soldiers and Police Officers.,14,0
Dissident Leader Expected to Run for Myanmar Parliament.,11,0
"2 Tots, a Sailboat and a Storm Over Parenting.",14,1
"Warren Leads an Onslaught of Attacks, Zeroing In on Bloomberg.",15,1
"Twice Guilty, Hungarian, 97, Is Acquitted in World War II Massacre.",20,0
Troubles at Afghan Bank Jolt Financial System.,11,1
Canadian Court Strikes Down Laws on Sex Trade.,10,0
"Catholic Church in Illinois Withheld Names of at Least 500 Priests Accused of Abuse, Attorney General Says.",25,1
Palestinian Authority Bans Activities by Gay Rights Group.,10,0
Murder Rates Rising Sharply in Many U.S. Cities.,14,1
U.S. Coronavirus Cases Surpass 9 Million With No End in Sight.,18,0
Israeli Peace Effort Rests on Netanyahu.,9,1
North Korea Confirms It Is Holding U.S. Citizen.,14,0
Tears and Tissues as Editor Testifies in Phone Hacking Case.,13,0
"Japan, Checking on Its Oldest, Finds Many Gone.",12,1
"In Florida, a Chance for Democrats to Win One Back.",13,0
Radical Cleric Demands Ouster of Yemen Leader.,11,1
"Arctic Cold Blankets Midwest, Freezing Routines.",11,0
Hezbollah Chooses Lebanon’s Next Prime Minister.,13,1
All Eyes on Bars as Virus Surges and Americans Go Drinking.,14,0
Many Missteps in Assessment of ISIS Threat.,10,1
Officials Recover Remains at U.S. Military Plane Crash Site in Afghanistan.,16,0
Narendra Modi’s Ambitious Agenda Will Face Difficult Obstacles.,16,1
A City’s Wrenching Budget Choices.,10,1
Pence Misleadingly Blames Coronavirus Spikes on Rise in Testing.,16,0
"Clasping Hands, Ex-Guerrilla and Queen Briefly Bridge a Divide.",16,0
Bolsonaro Hails Anti-Malaria Pill Even as He Fights Coronavirus.,16,0
A Pennsylvania Town in Decline and Despair Looks to Donald Trump.,13,1
Judge Helped Egypt’s Military to Cement Power.,11,1
U.S. Coronavirus Cases Surpass 9 Million With No End in Sight.,18,0
Japan Summons Chinese Envoy After Naval Ship Nears Disputed Islands.,15,0
"Case Against Argentine President, Brought by Prosecutor Who Died, Is Dismissed .",16,0
"For Trump, the Only Medical News Is Good Medical News.",13,1
Top Trump Campaign Aides Are Portrayed as Corrupt at Manafort Trial.,17,1
Republicans Open to Banning ‘Bump Stocks’ Used in Massacre.,14,1
"On Foreign Policy, President Trump Reverts to Candidate Trump.",13,0
Hardening of Positions Undercuts Ukraine Peace Accord .,11,0
Children and Guns: The Hidden Toll.,9,1
Obama Seeks Approval by Congress for Strike in Syria.,12,1
"As Suburban Women Turn to Democrats, Many Suburban Men Stand With Trump.",15,1
Enforcement Takes On a Softer Side in China.,11,1
Damage and Flooding Scar Atlantic Seaboard.,9,1
European Rail Crashes Show Gaps in an Increasingly Precarious System.,16,0
Unrest Is Undermining Hopes for Afghan Vote.,11,1
"When the Bullets Flew, ‘They Didn’t Care That I Was a Woman’.",19,1
A Supreme Court Not So Much Deadlocked as Diminished.,13,1
"In ‘Brexit’ Vote, David Cameron Faces Problem of His Own Making.",16,1
"A Sitting President, Riling the Nation During a Crisis.",13,1
Royal Couple Sue Over Photos of Topless Duchess.,11,0
A Find in Britain: Quran Fragments Perhaps as Old as Islam  .,15,1
The Prayer Circle: Texans Rebuild After Harvey as a Practice of Faith.,15,1
Obama Apologizes for Praising Attorney General’s Looks.,14,0
"Routed by Katrina, Stuck in Quagmire of Rules.",14,1
Firm Collecting Virus Data Refuses to Answer Senators’ Questions.,13,0
‘Afraid to Be a Nurse’: Health Workers Under Attack.,14,1
"Meeting With Israelis, Palestinian Leader Strikes a Conciliatory Tone on Peace Talks.",17,0
Dzhokhar Tsarnaev Given Death Penalty in Boston Marathon Bombing.,16,1
"Stung by U.S. Tariff Plan, Canada Takes a Deep Breath.",17,1
"Lidia Menapace, Who Fought Fascists and Sexists, Dies at 96.",21,0
"Pope Francis, Catholics and Lutherans Will Recall Reformation.",12,0
"Billionaire Saudi Prince, Alwaleed bin Talal, Is Freed From Detention.",18,1
"For Palestinians, Israel-U.A.E. Deal Swaps One Nightmare for Another.",20,1
Militants Free American No One Knew Was Missing.,11,0
Businesswoman’s Fate a Test of China’s Resolve on North Korea.,17,1
"As Cameras Track Detroit’s Residents, a Debate Ensues Over Racial Bias.",17,1
"Leading Role in Obama ’08, but Backstage in ’12.",17,1
Heart of Iowa as Fault Line of Egg Recall.,11,1
"Earthquake Devastates Nepal, Killing More Than 1,900.",17,1
Standardized English Tests to Resume in Iran Amid Sanctions.,12,0
Syrian Opposition Joins Meeting of Arab League.,10,0
"In Hungary, a Freewheeling Trump Ambassador Undermines U.S. Diplomats.",19,1
Ex-Marine Held in Iranian Prison Suspends Hunger Strike.,14,0
North Korea Events Complicate Nuclear Talks With Iran.,11,0
Briefing on Protest for Palestinian Unity Becomes a Rally Itself.,13,0
Downturn Does Little to Slow Migration.,10,0
Top Cameron Aide Quits Over Phone-Hacking Scandal.,13,0
Leader Faulted on Using Army in Iraqi Politics.,11,1
French and German Ties Fray Over Greek Crisis.,10,0
"Trump Hails Revised Nafta Trade Deal, and Sets Up a Showdown With China.",18,1
Migrant Parents Wait and Hope for Their Children: ‘I Feel Like I’m Going to Die’.,22,1
"Feeling Let Down and Left Behind, With Little Hope for Better.",14,1
"Qatar’s Emir Visits Gaza, Pledging $400 Million to Hamas.",19,0
"With Whipping Winds and Power Down, Californians Flee Fires.",15,1
"As Universities Seek to Block Visa Rules, Trump Threatens Tax Status.",15,0
"For Women Under 30, Most Births Occur Outside Marriage.",15,1
"Attacks by Extremists on Afghan Schools Triple, Report Says.",13,0
Prince Andrew Denies Knowing of Sex Trafficking by Epstein.,12,0
Trump Says ‘Go Nuclear’ as Democrats Gird for Gorsuch Fight.,17,1
"With Cost-Cutting Zeal, Tillerson Whittles U.N. Delegation, Too.",19,0
"Rewriting the War, Japanese Right Attacks a Newspaper.",12,1
"2016 Nonvoters, a Key Prize for Biden and Trump, Turn Out in Droves.",23,1
Bob Kerrey’s War Record Fuels Debate in Vietnam on His Role at New University.,19,0
Conviction of Berlusconi in Sex Case Is Overturned.,14,0
Backers Stayed With Donald Trump as He Regained His Bearings.,15,1
"At a 9/11 Site, a ‘Last Funeral’.",15,0
"A Vineyard Dispute, $800,000 in Cash and Two Dead in Napa.",21,1
"Trump Wants U.S. ‘Opened Up’ by Easter, Despite Health Officials’ Warnings.",20,1
Ukrainian President Ends Cease-Fire With Rebels.,11,0
Turkey Presses Case Against Israeli Officers in Raid.,10,0
Senate Support Builds for Pact on Arms Control.,10,1
"Trump Promotes Original ‘Travel Ban,’ Eroding His Legal Case.",14,1
"Hundreds of Thousands Flee Ivory Coast Crisis, U.N. Says.",16,0
No More ‘Kneecap to Kneecap’ Talks: Coronavirus Hinders Military Recruiting.,18,0
"Evelyn Y. Davis, Shareholder Scourge of C.E.O.s, Dies at 89.",25,0
"To Woo a Skeptical Trump, Intelligence Chiefs Talk Economics Instead of Spies.",17,1
Biden Strikes a Softer Tone at Israel Independence Event .,12,0
More Than One Attacker Is Suspected in Killings of 4 in Washington.,18,0
An Afghan Comes Home to a Massacre.,9,1
Pope Acknowledges Nuns Were Sexually Abused by Priests and Bishops.,16,1
Geithner Suggests That Strauss-Kahn Step Aside.,14,1
"As Midterms Loom, Democrats Worry About Health Law.",12,1
"In Clinton Emails on Benghazi, a Rare Glimpse at Her Concerns.",17,1
"Migrant Caravan Arrives at U.S. Border, but Long Road Awaits.",19,0
U.S. Issues New Sanctions as Iran Warns It Will Step Back From Nuclear Deal.,20,1
Syrian Forces Overwhelm Stronghold of Rebels in Homs.,15,1
Ukraine Palace Is Still Emblem of Dysfunction.,9,1
"Back Home, House Democrats Tread Carefully on Impeachment and 2020.",19,1
Egyptian President’s Supporters Rally.,8,0
Chinese Official Calls for Korea Talks.,8,0
"Flooded With Migrants, Germany Struggles to Integrate Them.",14,0
Ted Cruz and John Kasich to Coordinate Against Donald Trump.,13,1
Former Executive of Korean Air Is Indicted in ‘Nut Rage’ Episode.,16,0
"In Trump’s Saudi Bargain, the Bottom Line Proudly Wins Out.",16,1
"Ex-Lair of Tyrant, Now Just Any Place.",14,0
Mississippi Law Aimed at Abortion Clinic Is Blocked.,11,0
"Despite Big House Losses, G.O.P. Shows No Signs of Course Correction.",19,1
"After Surgery, Surprise $117,000 Medical Bill From Doctor He Didn’t Know.",23,1
"For 3 Indiana Brothers, ‘America First’ Cuts 2 Ways.",16,0
Trump Budget Cuts Put Struggling Americans on Edge.,11,1
Cartoonist in Denmark Calls Attack ‘Really Close’.,11,0
Aid Agencies in Afghanistan Fear Reversals After U.S. Exit.,16,1
Efforts to Control the Coronavirus in the U.S. Could Get Even More Extreme.,19,0
"Boyd K. Packer, Advocate of Conservative Mormonism, Dies at 90.",18,0
Hezbollah Kills 2 Israeli Soldiers Near Lebanon.,12,1
"Oil Wealth Ebbing, Russia Needs to Lure Foreign Capital.",13,0
A Tight Trump-Biden Race in Florida: Here’s the State of Play.,18,1
Medvedev Defends Plan to Trade Places With Putin.,12,0
Protest of Thousands in Cairo Turns Violent.,9,0
"In Rare Move, China Court to Hear H.I.V. Case.",17,0
F.B.I. Director James Comey Is Fired by Trump.,16,1
"Prices and Anger Rise in Nigeria, Presaging More Strikes.",13,0
Fear of ‘Another Benghazi’ Drove White House to Airstrikes in Iraq.,19,1
How Labour’s Working-Class Vote Crumbled and Its Nemesis Won the North.,18,1
Attacks in a British Town Highlight a Debate Over Ethnic Tensions.,14,0
Secret Service Chief Reviews White House Breaches.,10,0
"Kurds Close to Control of Northeast Syria Province, Portending a Shift in the War.",19,0
"As U.S. Speeds the Path to Deportation, Distress Fills New Family Detention Centers.",21,0
"In Koreas, Floods Carry Land Mines.",11,0
Outlines Emerge of Future State in the West Bank.,13,1
Genocide Trial of Guatemalan Ex-Dictator May Have to Restart.,16,0
Trump Aides and Democrats Agree on Trade Pact With Mexico and Canada.,15,1
7 Lessons (and Warnings) From Those Who Marched With Dr. King.,17,1
"As Putin Era Begins to Wane, Russia Unleashes a Sweeping Crackdown.",18,1
"With Most States Under One Party’s Control, America Grows More Divided.",16,0
Bombing Inquiry Turns to Motive and Russian Trip.,11,1
John Paul II to Be Beatified in the Spring.,12,0
Army Corps Blows Up Missouri Levee.,10,1
Lost Jet’s Path Seen as Altered via Computer.,12,1
"Robert Mugabe Hounds Rivals in Zimbabwe, Parties Say.",12,1
Death Toll in Russia Apartment Blast Rises to 38.,13,0
"At Los Angeles Teachers’ Strike, a Rallying Cry: More Funding, Fewer Charters.",19,1
F.B.I. Treats Minnesota Mall Stabbing Attack as ‘Potential Act of Terrorism’.,20,0
University of Texas Students Find the Absurd in a New Gun Law.,15,0
Big Cash Edge Powers Obama in Drive for ’12.,13,1
U.S. Widens Role in Mexican Fight.,12,1
Afghan Stoning Video Rekindles Outcry.,11,0
Online Health Law Sign-Up Is Delayed for Small Business.,13,1
