prompt,prompt_len,target
"@sideone yeah, I much prefer tweetdeck but if you must have multiple accounts",18,0
@souljaboytellem hell yea its hot here  i miss cali,16,0
akissforjersey is amazing&lt;3 sooo soothing.,14,1
I'm in a traffic jam,8,0
is closing at 10 instead of 12 yay!!  just 15 min till i can go home and talk to my lovebug!!,32,1
"@kariannanas hahaha, I was busy, now I see what I replied to you! Yes that is true",24,1
"@denisev3 it was a biligual sweatshop LOL I talk 2 him once in a while but not as much, he got an r6",34,1
@TheFifthSister So happy you came and said hi! Twas very nice to meet you indeed  Thanks so much for coming over and talking to me,32,1
"What I Meant to Say: At Yardhouse, Waikiki. @lilredbow 's bday @djjmytaco @mixmasterb @mcfloppyears (she Should DJ!) &amp; some dozen others",48,1
@ddlovato DEMI YOU WERE SO PRETTY WITH YOU'RE BANGS AND EVERYTHING .YOU LOOK TOO GROWN UP IN THIS PICTURE  i liked your bangs.,36,0
"@RebeccaNavarro @banditTA00 sorry, I'm back.. food was calling my name..lol..all is good here  and HI! , sorry I haven't said sooner lol",42,0
enjoying my couch for the last time,9,0
Practically my whole body burns... I can't bend over or make any sudden movements with my arms,22,0
@Mauityler87 u don't love me  no follow..how was your night? ;-),23,0
"A little happy for the wine jeje ok it'sm my free time so who cares, jaja i love this day",25,1
@TwistedHelen her son is 7 and captured it outside...THANK GOD I HAVE A LITTLE GIRL,21,0
@JackieShimamoto i love cobra starship!!  thanks for the suggestion!,18,1
@LKnerl yes we must I had so much fun at SXSW with you guys  PJ party in my room,25,1
@heatxsink SCREAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM - never freu you zu frï¿½h,21,0
"@garageglamorous I agree, 'Paparazzi' waz an amazing vid, I luved it, but felt bad cuz it waz leaked &amp; I watched it",36,1
watching merlin omg he is cute,8,1
Our Christian mobile directory is running! Just a month old  Visit http://tiny.cc/caribdir,23,1
i'm awake while others sleep,8,1
@JanetRoper  Indeed. Maybe somebody needs a new cat.,15,0
just got news that one of our good friends grams passed away.She was strong as a horse. You never know what tomorrow may hold.,29,0
@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL,34,1
@ram014  thanks...but what happened?,13,0
@TheFifthSister So happy you came and said hi! Twas very nice to meet you indeed  Thanks so much for coming over and talking to me,32,1
Obama's Speech at the Correspondents Association - He has promised to complete his next 100 days in 72  http://tinyurl.com/qmu8mk,38,0
"gooooooood night, cant believe tomoroo is cancelled!  but still gonna be a giid night, GNI cant beat them!",30,0
love to but  already got plan  going to queen mary !,14,0
"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1",33,1
@frumioj  Cheeeessseee! We were in Ireland when the latest W&amp;G aired. In-laws had to put up with my blocking the telly on Christmas Day.,44,0
"Right I now need breakfast. Let's see if I can make it while Tweeting ;-) What am I thinking, I'm a bloke, multitasking is out lol",35,1
stilll awakee :] and its 3am,11,0
"This is the best E-commerce site, I hope you've watched the big bang theory. http://www.pennyblossoms.com/ Please hit &quot;buy now&quot;",42,1
i lost my phone.,6,0
@SirGarde Hott as Africa lol yeah its hot here too and its a big storm here,21,0
@skooter88 me neither at first...but u gotta go thru somethin first to get there lmao...i almost burnt my house down and that set me str8,35,0
@natalietran I did really like that http://tinyurl.com/c63mhr reminds  a little of my favor hfw,31,1
"@TRIPLEBEAMDREAM Having a Leatherman, is a MUST, really for anybody! You never know, when you might need one &amp; it gets the job done.",38,0
low low low low low low low low low.............................,12,0
@joshtastic1 so you are like the rest of us on this miserable bank holiday.then LOL,22,0
Thank you all for proving my point,8,1
@DH_Photography Good Morning! Hope you have a great day!!,15,1
chillin with my bros and a couple of yeunglings   doesn't get much better than this,22,1
Yay! Made my first sale on RedBubble - that makes me so happy   http://bit.ly/1gURq,27,1
hand hurts,3,0
@nnayaj_11 thanks. enjoy the movie! i hope all is well with you te.,23,1
"@bex_1210 holy crap, I need to see that! Too bad I gotta wait until tomorrow",24,0
my laptop my laptop!!!! taking sooooooooooo long to load fdms myspace page,18,1
"Ahh, sunshine.  Just deleted 404 spam emails from 2 days - now off to BBQ in sun  wonderful...",28,1
@theguigirl I'm afraid not much  I just realized the true difficulty of this design. I may cry soon. #idmfinal,32,0
"@iamsuperbianca Oh, and I went with my friend to MYOH last night but they ran out of tarsier pins. So sad. He was really cute.",36,0
i ate so much,5,0
"Oh yea, and I feel really feckin tired today !",13,0
wow! party! my new life! it is awesome! no more girlfriends they just create tons of drama! babes at a party is the way to go!  just w ...,37,1
Skipping school like all the cool kids do,10,1
@aussiecynic LOL #yourock,10,1
@nkotbworshiper me too... it goes to my phone so all night long sometimes my phone is blowing up... so nice to wake up to!,34,1
"@jennafletch at freddies having a cotch and LADYHAWKE is here, just missing you my bajan beauty",26,0
Don't follow your dreams; chase them.- Richard Dumb (who I think is very smart,20,1
@LindseyNHess I agree 100^%! It's a great day! If only I had a window to see it...,30,0
"@V_KONG Record Grand Prix to skip through later, watch Man U game, Radio 1 .... well sport comes first",27,0
I miss @digital_dragon and @motoash  I wish they'd talk to me more often,22,0
@mycaricature My pleasure and sorry to hear about the pollen thing,15,0
"@goofygeorge You are totally welcome to come hang out on my wiki  Do it, do it!",23,1
Had such a boss night out.,8,1
@asheleybg That's actually not too far from the truth,15,0
@irize yea yea  im about to torture myself by doing a stanky leg marathon..ima do the dance for hrs til I can't no mo,33,0
Back from a wonderful vacation. Had perfect weather and now back to the rainy 'burgh and reality.,21,0
At hospital.. Uncle is in surgury after heart attack,12,0
"Getting Emilie in half an hour, should get up.... Have a nice day all! Talk later I hope",22,1
"going to head to bed now finally...goodnight! Hopefully my dreams will consist of ravishing things, such as: Zachary Quinto.",29,1
my hair doesn't look completely retarded. success,11,1
"Umm after schooL , at subway w. My mom ; nothing to do planss are ruined",21,0
@shezDOPEx3 Hey u  Whatchu up too? Isn't it past your bed time?,24,0
definitely ready for a plate of pancakes.,9,1
Happy Star Wars Day to you all,8,1
I miss Heroes already  Come one fall!,10,0
I'm so sad that Cage on Daisy of Love went home this week  him crying made me tear up a bit..,26,0
So nice how Natalie taught Jameson &quot;why&quot;!!!,15,1
@carlocruuuz good! you joined the dark side hahahaha we have cookies!,19,1
@rea_jane yay! buti nagustuhan nyo. isang bar lang enclosed ko sa mail.  to test if matutunaw or hindi. next time uli.,38,0
"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!",25,0
"@echsizzles I am in Kuala Lumpur. And I know I vanished, haha! I broke up with my last boyfriend, that's why I'm back!",36,0
"@stryperband - Love the comeback, I will stay tuned! You fellows should follow people on here though. You'll in turn get more followers",32,1
@KelseyJ_xo  hey chick u alryt u at dads tmoro we sud do sumin aen like last week we neva dun oot this week lol  missed you ha bye hun xxx,41,1
LIVE FROM NEW YORK ITS SATURDAY NIGHT!  finally a new one,14,1
10 Cutest Cat moments video - http://shrt.st/4ce - enjoy,20,1
I am excited to be home  finally a week and a weekend with people i know,18,1
happy mama's day ladies!  have a good day.,14,1
wowowee willie of fortune is just making me depressed  damn love.,17,0
"Didn't get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun",29,1
"Meeting went well last night.They shot promo to air this weekend on MTV. i tried to hide but I was too close, I think they caught me.",33,1
@Twyst The devil you say!  I've been waiting for the Black Widow in movies and now she won't be awesome at all.,33,0
"@ykesha2001 yeah, I also had to do a paper.. I only have one more final left: algebra.. &amp; I take it on my birthday!!   (june 3)",44,1
Damn just spent a week whole of pay on shopping  oh well i'm happy!!!,19,1
"@Tina_Marie_2009 Glad to hear you're quitting. I hope it works out! Also, thanks for the sweet mother's day card. Made me smile.",40,0
@JesssEv me too dawg  thanks so much!,13,1
caught up on emails for my research project.  yay for labels and search in #gmail.  much easier,23,1
Ooopps over slept. Is it really 10am? Best get up then and get my shizzle in gear,25,0
"Yummy yum-cha for mother's day with mum, dad, arcel and egg-pants  yuuuuuum  http://twitpic.com/4w65x",39,1
woken up by a bacon and egg sandwich in bed - man I have good housemates,19,0
"@johncmayer lol that just totally made me laugh, which made my day",17,1
@redonculous video tape that for me  hahaha,12,1
@CSI_PrintChick exactly! Thats the first time i saw his @ reply to Jon. Never going there again. Oh have fun with d new phone.,33,1
"@skrobertson thanks  i have to finish schoolwork today, no rehearsal tonight though. what ru doing?",24,0
@princeofcode Sorry we couldn't get the project working with the windoze laptop  but a ton of folks came up afterwards and saw it running,33,0
@DebiLayne i know!! No money for pedicures!!,15,0
@emily859 Glad to hear the weather's nice.  It's rained just about every day for the last five days.  Not fun for exploring,35,1
didnt cry at the end but was very sad to see the last episode of ER. man that was a good series.,26,0
@peterloggins ... schedule says 10:30 class? I will be late for 10  #campjitterbug,30,0
Heyya guys! does anyone know how to give formulas to create a sudoku? Please help,19,0
How I Met Your Mother? Best show ever,10,1
this goes out to the one n only smirker   cheers dave!  aka jak  aka the best chest ever! ? http://blip.fm/~5jjcc,36,1
My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.,26,1
So hyped about E3. I wish I could go...,13,0
@FragDolls ok I just love it when big buff tattoed (preferably Christian)  men strut...fluffy dogs are optional,27,1
Happy Star Wars Day? OHHHH...now I get it. May the 4th be with you.  love it. (and mondays). (sorry again) #starwarsday,40,0
@pinksealight oh lucky u!! i need to send mines away to get fixed,18,0
"@juhasaarinen what? I do not speak Finnish or what that was, hehe",19,0
just goy back from a day of tests at the hospital. going to start chemo on monday,20,0
"@Katie_Noonan I think ill do that! I well wanna go out, go no one to go out with  Loveyou xx",29,1
@latinavanessa I'm sooo ready for a beautifyl day,16,1
"just got back from the ER... i cut myself while trying to cook a nice lunch  3 stiches on my right index finger, talk about ouchie",32,0
doing some DIY- I'm dying mg clothes black again...save some money,17,1
"@MissxMarisa hahaha, it's *massive* compared to the others!! you're so sweet Scenie",26,1
Waking up .....working....Happy as can be!  Its gonna be a great day today... I can see it..and im not sore from Running yesterday!!!,34,1
@Dynamomagician Dude you are awesome,9,1
Running around town with Kathleen....she's leaving me for a month..,16,0
@ProudKiwi thanks for the message - just worked out how to see them and reply!,19,1
Oh goody - It's Doctor Who! Hooray for IPTV,15,0
"@BeDimples Lmao dimples naww thats cute , ok ill try to remember first of winter is dimple day",26,1
@DavidArchie I'm watching some of your videos in YouTube. You're funny David.  Oh and TALENTED of course!,30,1
@joshtastic1 so you are like the rest of us on this miserable bank holiday.then LOL,22,0
ive spent a lazy day today finding some interesting people to follow  its reinforced the saying... it takes all sorts of people ...,26,1
The book bloggers panel is not listed anywhere in the program!   Be there tomorrow at 2pm in room 1E15.  #BEA09,34,0
Anddd justin. Eff,6,0
Finishing Homework.  BOOO,7,1
feelin a bit 'dangerous'. off to watch tha vids  http://bit.ly/9X0Us,24,1
"@zurplemoon  I'm sorry.....deep breaths, I started a program called panicaway...it has worked wonders.",27,0
@ClareHeartsMAC can u add ur link. I can't find u on YouTube.,20,0
"One for the Mum's - HAPPY MOTHERS DAY! &amp; a special mention 4 one of our newest members: @Holly_Jane, Hope @DHughesy was good 4 u &amp; 2 u",49,1
its ok @samcarterrules saw u with joey thought u looked interesting like the same things on  #SanctuarySunday,26,1
what a lovely summery morning! Shame I have to be in work!!!!,16,0
@susiecheng We all need that simple reminder-thx!,15,1
@rscheuer OK looking forward to that,10,0
looking for new ideas for my blog,8,1
@sengming whoa steady there mate don't fall down,14,1
@Hoopsiscrazy U think web design wld go down well at the International Brotherhood of Magicians? Maybe. The magic was a success at SXSWi!,35,1
@PeteMoring Well it's nice to 'see' you. Have a great day and tweet again soon,24,1
"@leilaanasazi: I'm sure lots of that studio equipment was collected analog stuff that can't be bought anymore.    seriously, condolences.",33,0
@OohLaLisa oh yes some are quite nice! and my 'photoshop' liep zojuist vast. so now I have to start over painting Rï¿½isï¿½ngs glove,41,1
"@rjramos yeh take ur time, no pressure   how did u learn to twirl around the knifes and stuff?",26,0
@mbburns That's great news,9,1
"It is so warm out this evening!  And I just met my new neighbors, they're so nice.",24,1
@sashaostrikoff i miss you,10,0
Happy Birthday to @AndrewGirdwood !,10,1
@teresanguyen oo ok. When I opened up twitterfon and it said I had a reply I was like lauren Conrad andswere me  haha,32,1
is off to work ... still &quot;recovering&quot; from an amazing and beautiful weekend. Have I mentioned how incredible my friends are??,31,1
super excited,3,1
sore throat and a headache starting on a friday is not a good sign,15,0
"Ouvindo &quot;The Wonders - All my only dreams&quot;, a melhor banda do mundo que nunca existiu. Pra comeï¿½ar bem o dia.",35,1
everything is going wrong in my &quot; happy day&quot;,15,0
ofcourse they wait until the last minute to run an experiment at work...that I have to supervise. aka i dont get to leave work on time.,32,0
once i hit christian in the head with a metal bat! haha he then socked me in the eye! haha i miss being a reckless little kid,31,0
@BaybeehDoll No u miss me !!!!! LOL,12,1
My face an my arms. Tragic. Seriously.,12,0
@jeremycowart I love #polaroid - such a shame they don't make the film for it anymore,24,0
@dannymcfly i lurveeeeee you,10,0
@tom_howarth hehehehe I will keep silent now,13,1
"Has horrible toothache, and had only a wink of sleep  xx",15,0
"@JekNexus Oooommmmggg, you probs will, too busy to slay properly for a while  Hopefully I'll stay ahead doing 1 task a week!",37,0
is sad cuz my mommy leaves to indy today,10,0
im watching tv at home wishing i could get a chicken shish delivered but not go enough pennies,20,0
@beadqueen That doesn't sound fun,10,0
"@edenriegel Ur going 2 get tired of hearing from me, but I just saw a preview of ur movie Year One, and you were in it.  How funny. Yeah!",40,0
Driving to work running late like always..... No time for starbucks,13,0
"Has a bad feeling that this time next yr, her fav musical may no longer be on the West End",22,0
With alex,3,0
hardware store guy told me the screw would be impossible to remove since the head is completely gone. will get a 2nd opinion,27,0
I'm at work!!!! Ugghhhhh someone save me now,14,0
@irkengir It is a recession,9,0
"@Booooooom I love how Alex Pardee colours his picturs, so differnt",19,0
Last Late Late with Pat Kenny! Bless,9,1
@grahamguy more coffee,6,1
"@shanellelee OOooOO -- no, I have not! Glad to hear it was incredible, though! I still have it bookmarked to try sometime",33,1
had a lovely breakfast with mum...yummy pancakes,11,1
lost my BA115 enlisted class in CRS!! ( whyyyy. hindi naman conflict or whatever.  ang labo ng CRS grabe. T.T,34,0
Did you know you can shop for AVON online... Its true.. Check out my site: http://www.youravon.com/krystalmoore   Thanks,36,0
@ashmart miss you,6,0
Early lunch then getting all dressed up for Amy's confirmation,13,1
Oww. Can't even describe how much my back hurts. Going to have to go to the stupid doctor.,25,0
@fallenstar_ I got 71! That's more than I'm following... I feel special now,25,1
"@jo_locanawan: sure! Of course i'll pray for her too. Thank you, jo  send my warm regards to ur mom.: @jo_loc... http://bit.ly/Beih5",47,0
"@xxcharrrs aw anytime, boo. I realized that all I need to have some fun are you guys.  We should change our pics to the poofy hair ones!",38,1
@freshalina @itsmeAmerie Hey everyone! I just mixed the first single....!  &quot;Why R U&quot; ...I'm sooo excited!,38,1
@jimmymarsh617 awesome job last night!,12,1
http://twitpic.com/664b7 - miss my bestfriend :'( now she left school,24,0
I'm so pumped for the day!,10,1
"@dolliesierra Awwh....well at least you are up top, where the magic happens!  Today will be a good day, no worries.",33,1
another great workout! but I'm feelin kind of funny,14,1
1 month 3 wks till the big day!   ~CSH,16,0
@shivface oh my god im sooooooooo sick  help me,15,0
@laurenmontonen I DIDDDD. I MET THEM AGAIN,13,1
"on later than normal this morning, got attacked by a swarm of mini fly's after opening the veranda last night took an hour to get rid!!",31,1
Back after a tea and a blog post. A few more awake I see - good morning,19,0
thinks that the limit of 140 letters is really not fair. 300 + would be better,25,0
Oops!  My mom accidentally signed into my twitter account to comment on my pictures!,18,0
@oschmid14 How cool is that!   Thank you so much!   luv it!,22,1
"feels a sinus headache brewing, but can't take drugs.",14,0
I don't want to sit at home on prom night. Someone hang out with me,19,0
@timen Great idea,6,1
@SeattleWillow Well I am at work.   But Leah might be doing something with Embry.,20,0
@merlehenge the lost cost is a total plus.  Nutella is like peanut butter mixed with chocolatey goodness. yumm. ^^,30,1
"It's Friday and sun is shining and its quite warm already, Just walked the dog, He is so freaky  hyper",27,0
"@JenCarfagno Wow, you were here? Why didn't you tell me? J/k  That's cool though; I have yet to see one...",37,0
@alsotop /drool. I still need to 100% the first one,20,0
home from the beach and only my feet are burned. i am proud of myself and the sunscreen.,21,1
Eating an apple... for once in my life!!! Thought you would like to know,17,0
"@Yasmine32068 LOL I do too.... I can't take him back, I lost my receipt!",27,0
@AClockworkToad awww! thats sweet TTT!  Im sure she will love it! your a good son!,26,1
@scottrmcgrew honey is great for your health!,13,1
"@1mgoldstars morning  about to tackle armhole prob - may have a solution not involving tape, will update you!",27,0
@laydmaxix aww  i will keep sending it ;),15,1
"@Krystania thanks.mine wasn't too bad. Made a card for my mom, had a nice nap, finished some work, wrote bills, I have a surprise for you",39,1
@thinkgeek curses upon the ridiculously slow internetz at work!  The dang image just now loaded...,22,0
ah what a lovely day for a bike ride and cake making  *is rooting 4 those who are revising!* do your best! X,29,1
Good morning Monday...  I feel as though you came to visit too early... But I am happy to see you none the less.,28,1
@o_0robertpatt Why do they do that?!,14,0
Happy Star Wars day ! May the 4th be with you,14,1
"My life what a beautiful morning, i can think if no better way to ruin it than by being at work",23,1
"@MoosejawMadness You arent following me, so i cant send you a DM..",18,0
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",34,0
home! tonight was so much fun! goodnight twitterbugs!,14,1
Thank god for Starbucks,5,1
Is actually workin the weekend...Not for it,11,0
"Latest: Saw Animal Collective in Oakland and they were AMAZING! Now, I am trying to clean my room",22,1
'm working on a logo on photoshop &amp; it didn't work out..  hehe.. try again lah..,26,0
@cheryltiu yup slowly recovering. it sucks that i can't eat the stuff i'm craving right now. my gums can't take it. how was your trip?,39,0
i don't understand the whole follow friday thing?,12,0
"is almost done with the third/chapter cover page, yay",13,1
One of my kits has just brought in a mouse &amp; is eating it in the lobby. I'm sure I feed them enough!,30,0
"By the time we got back up to grizzly peak with cameras to capture the sea of fog we were above, it already engulfed everything",27,0
Have just bought a TV tuner for my laptop.  He he.  I deserve a present,20,0
"brother's back!! &amp;&amp; i found this really small dead bird on my deck  so sad, i basically cried.",29,0
Can't wait to see Set Your Goals at Leeds. Lots of website work to do today and its not on my own,26,1
@mikeziemer you traitor  whiskey and coke is my aphrodisiac,17,0
"@Laura_lou27 i have moved through to edinburgh from glasgow - new flat, no phone line or broadband",26,0
@JustZIPP hey rocstar,8,0
huh? its 1 am already? shucks,11,0
@joeburkel Looks like they dialed it in a LOT...payed attention to all the small but important details in gameplay...still no blood tho,31,0
"@AbbeyEmm Haha. If you like him, then you should go",15,1
damn i miss my bf,6,0
Last time we'll get tacos like this.,11,1
people with mustaches get super powers and mustaches. no fair.,15,1
Oh goody - It's Doctor Who! Hooray for IPTV,15,0
@AndreaKoeln I listen it right now - so much fun!!!  No I just have to get it somehow,24,1
OMG !! hollyoaks well dramatic  !!!!!!!!!!!!,10,1
@professorgreen &amp; you still are not following me,14,0
"Right, I must be off to do some sewing. Bye x",14,0
"@MissKittySF umm well i only go to house clubs and i never go to north beach so.no idea, sorry  been out 1x there 2 a now defunctlesi club",40,0
Wish I was in London to personally witness the Nun Run! What a great idea for the opening of Sister Act's new broadway show,28,0
@BabyvibeNancy Hi Nancy your fine (till it the baby moves!)  Just get out of the house &amp; do fun stuff early! The hardest jump was 1 to 2,40,1
In checkout line...kate &amp; jon splashed all over us weekly. sad,17,0
i can't find my tennis racket!!,10,0
Star trek was good times.,7,1
@ShaylaSenzafine haha..yeah..10th of May..lol..im greeting in advance! haha,25,1
@Mummyofmany Jesus heals,8,1
is playing MYBRUTE!  follow me at: http://yhana09.mybrute.com,24,1
"@tranced1 yes mate, on Friday",10,1
i'm yours - jason mraz....looking for an electric guitar  yay!!!1,19,1
@_C_A_S_ IM MAD IT WASNT SCAREY,16,0
congratulations penjiiii !!! Are we calling him soulja boy or mcbaby lol,17,1
@grrachel  that made me sad..,10,0
Morning  don't ask me why I'm up so early,15,0
is very excited! jonas tickets are on sale 2morrow,14,0
ughh...i dont feel good,8,0
"@SairzBillington lol, thanks  I think my husband would classify it as &quot;annoying&quot; - but I like awesome so much better",34,1
@ashleytisdale http://twitpic.com/3a5ho - hahaha ily ashley u'r like the best in the world,30,1
My car is broken.,6,0
I don't think I am going to get to see any of the sun today  gutted I NEED COLOUR!,25,0
"@iamyoushouldtoo Oh, I'm jealous (how surprising)",17,0
"Finishing this giraffe, then getting some sleep. Super excited about tomorrow!",15,1
@TheShoctor @pezhore @O3Visuals @N9VLS Victory! Now I just need to reinstall all my damn apps.,31,1
So the movie was 3-D and really gooood,13,0
http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!,29,0
"what a total bummer, i lost followers",9,0
"@LittleFletcher I saw the play of it here, it was amazing",15,1
"Heading off to Hollywood Studios today  Manta and Kraken were both awesome yesterday, feeling like doing a few more rides!!",25,1
i forgot how much i really needed music until i barely had any for about a week. but i have music now. yay!,27,1
@aussiemcflyfan i hope so  I KNOW WOO! haha 2 times  it was exciting lol,25,1
"A slice of pizza, a movie (Star Trek), and a shared hot fudge sundae @ Sundae House. Saturday nights are Date Nights again",30,1
My legs are so fucking sore. And my feet hurt to walk. Whataday,17,0
@lilabiem hahaha well why would you smack ME for that?!  hahaha THE BIG BANGGG,21,1
"@michaelmagical #warmfuzzies to you, my friend",13,1
It's the final count down to bigger hair people   ? http://blip.fm/~5z4uq,25,0
Just woke up. Gonna have a shower and go to Nan's for Mother's day lunch. Happy Mother's day,27,1
sittin at home watchin monster in-law waitin for pizza.. yum yum,18,1
got an A in english again  yay..  but a D- in maths,17,0
"Days with cellstorms, I like it!",10,1
@Nic0pic0 Lots of things Nico. Gud news: I have a job Bad news: Its in the middle of nowhere. Got my phone 4 twitter but cnt play videos.,39,0
@abstractg @grendel @tigertigercb woohoo! I got the Sunbeam Cafï¿½ Series grinder at Eu Foods for only $198! Epic win,36,1
"@xFrankieMonster haha. lucky, I havent seen it yet  It fucking sucks .",19,0
@themightyshrub AP is Associated Press: http://www.ap.org/ There are many other global news agencies like it,29,0
such.a.tease.,7,1
yay new computer to fiddle about with,8,1
"its from all that anal sex, i forgot the lube. damn  may need to go to the E.R.",25,0
@lulliecarole that was delicious! lets have a walk sometimes with you and your hubby.. and others! me misses you,27,1
"@MiaLotta why do u feel shit? Nerves? I tripped over that plastic telescope at 6:40 am yesty, I fell into the wall my head still hurts",39,0
researching ecologically friendly carrier bags... its not cheap to be eco friendly,15,0
Whoooooo! Spcn 2009!  ready to cheer for @Dariane!,21,1
"@Amanda_Holden I must admit though, part of me didn't want her to get through so she wouldn't have to put herself through all that again.",36,0
Had to cancel subscriptions today to NZZ and Economist at office  #costsavings Luckily they also have online versions,24,0
tried  to sleep but i cant bout 2 call tisha,14,0
back home with my puppyy,7,1
@sweetlilmzmia Thanks for the song! Youï¿½re awesome.  I can sing along all day!,26,1
@BrianLimond Ever seen the tv show Dead Like Me? I died and became a grim reaper. Taking people's souls after accidents,29,0
@limheeian iPhone is awesome man!! Time to join the Apple cult!!,17,1
Happy Mother's Day,6,1
@FlowerDust I'm bummed...you're gonna be only 30 minutes from me on Sunday &amp; I can't come hear ya.,35,0
Just thought about my hubby being deployed n now I got the blues  I need a stiff drink but I'm breastfeeding so no booze for me :/ Ugh!!,33,0
@the_anke What's wrong with the ski slopes of MK? They've got coffee shops as well y'know!,28,0
No one wants to sit with me at lunch  I guess I'll just bury my head in my laptop and continue to be anti-social.,31,0
oh and I got my haircut today. I looove it,13,0
LIVE NOW  LIVE! )  DJ JAYEM B2B E.S.R  Click : http://www.krisisdnb.com/listen.asx,37,1
@agoodstein @timknapton what good role models...  i like how yinz think!,22,1
"@goofygeorge You are totally welcome to come hang out on my wiki  Do it, do it!",23,1
::Ugh:: Euro Civ exam... Studio Later though,11,0
@captaincarrott  you're mean to me. You're gonna have to have pizza tonight or it will go off.,28,0
"@mileycyrus i think it's fun, you gotta hide, and defend from your enemy, fun huh?",26,1
I love the sunshine and the happiness it brings,10,1
"tiiiiiiired! Going to bed! Drinking leads to making out with boys, who you later forget their names.... Don't drink kids. Goodnight",32,1
Good morning Tweeple of the sun! What you all up to?,16,1
Its a lovely 58 degrees right now at 7am.  amazing. Enjoy melting vegas. :l,24,1
"@jeanettesanchez lucky you, all we've had is rain in the city today  enjoy! ;)",24,1
"Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry.",35,0
Im home where i am about 2 drink alone.,12,0
what am I going to do without my @brandinmusic?!  SKYPE! haha,19,0
TGIF!! Its a GORGEOUS day in Reno today. And I'm stuck inside.,21,1
. @wickedblueglow he's in bed sick. Heavy fever. Went to dr's. Part of the reason i'm watching Aladdin 2 now and still haven't been fed,41,0
