prompt,prompt_len,target
HOUSE OF LITTLE PEOPLE E 90 ST,10,1
RIKERS ISLAND TRAILER ROW,7,0
BET YAAKOV OROT SARAH SCHOOL,9,0
OUR LADY OF MERCY CHURCH,7,0
ISHAM PARK W 213 ST STAIRS BROADWAY TO PARK TERRACE WEST,19,1
AMISTAD DUAL LANGUAGE SCHOOL,7,1
NEWTOWN CREEK POLLUTION CONTROL PLANT INTERIM GRIT BUILDINGS 4,14,0
RICHMONDTOWN CHILDRENS PRESCHOOL,9,0
BETH ISRAEL MEDICAL CENTER MILTON & CARROLL PETRIE DIVISION,13,1
RICHMOND PREPARATORY CHARTER SCHOOL,8,0
STARLIGHT PARK SOCCER FIELD,7,0
MILL BROOK HOUSES,5,0
SUNKEN MEADOW FIELD 16,9,1
CITY COLLEGE WINGATE HALL,6,1
SHELTERING ARMS POOL,7,1
GRAVESEND HOUSES COMMUNITY CTR,8,0
CHELSEA PIERS BOWLING,8,1
CARDINAL SPELLMAN CENTER,7,1
PS 28 WRIGHT BROTHERS,7,1
RIVERTON SQUARE APARTMENTS,7,1
CLASSIC PLAYGROUND,5,1
PURPLE CIRCLE EARLY CHILDHOOD PROGRAM,8,1
DUAL LANGUAGE & ASIAN STUDIES HIGH SCHOOL,10,1
SLEEP INN HOTEL 13 ST,8,0
SCHMUL PARK,4,0
SPRINGVILLE CREEK,4,0
TOT LOT 105,7,1
MANHATTAN BRIDGE PEDESTRIAN,9,1
DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS,13,0
PARK AVENUE SYNAGOGUE EARLY CHILDHOOD CENTER,10,1
CENTRAL PARK WEST AREA C,6,1
ST MARYS CHRISTIAN CENTER,6,0
I S 34 TOTTENVILLE,10,0
PS 50 FRANK HANKINSON,9,0
ST JOSEPHS ANGLICAN CHURCH TRINITY CHURCH EAST NY,13,0
FEDERAL HALL NATIONAL MEMORIAL,6,1
JOHNSON HOUSES BUILDING 10,9,1
NEW DORP BAPTIST CHURCH,8,0
CENTRAL PARK WALLACH WALK,6,1
UN GENERAL ASSEMBLY BUILDING,5,1
MANHATTAN COLLEGE RESEARCH & LEARNING CENTER,10,0
LINCOLN CORRECTIONAL FACILITY,7,1
SHEEPSHEAD BAY YACHT CLUB,8,0
COAST GUARD SECTOR NY,6,0
MFINDA KALUNGA GARDEN,8,1
CENTRAL PARK STRAWBERRY FIELDS,7,1
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,10,1
FORT TOTTEN PARK,5,0
GREAT KILLS POST OFFICE,6,0
5 AVENUE OVER GREENWOOD CMTRY,8,0
WEISS TOOL DISTRIBUTORS,7,0
BAYSIDE UNITED METHODIST CHURCH,8,0
BUSHWICK II (A & C) BLDG 18,16,0
FDNY FOAM APPARATUS 88,9,1
JEROME SUBWAY YARD,7,0
RIIS HOUSES BUILDING 2,8,1
MORNING STAR FULL GOSPEL ASSEMBLY CHURCH,10,0
PS 28 WRIGHT BROTHERS,7,1
QUEEN ELIZABETH II SEPTEMBER 11 GARDEN,9,1
NEW LOTS LIBRARY,4,0
NEW YORK CITY HISTORICAL SOCIETY,6,1
FREDERICK DOUGLASS PLAYGROUND,7,1
CAREY GARDENS BUILDING 3,8,0
PELHAM FRITZ RECREATION CENTER,8,1
BETHEL WAY THE CROSS CHURCH,7,1
OUR LADY QUEEN OF PEACE CONVENT,8,0
WEST VILLAGE NURSERY SCHOOL,6,1
METROPOLITAN AME CHURCH,7,1
ROMANIA CONSULATE,5,1
FORDHAM U TENNIS HOUSE,8,0
ATLANTIC AVIATION 6N5,9,1
BEACH CHANNEL PLAYGROUND,6,0
RIVERBANK PARK EAST ELEVATOR,8,1
FILM CENTER BUILDING,4,1
ST JOHN BAPTIST CHURCH W 152 ST,13,1
SPACETIME CC INC,6,0
MARINE PARK INLET,6,0
ALLEY POND TENNIS CLUB,7,0
STOLZ PAVILION,7,0
EAST DRIVE OV PED PTH CENTER DR,9,0
VIVIAN BEAUMONT THEATER,8,1
ARTHUR ASHE STADIUM,8,0
CALVARY CEMETERY GARAGE,9,0
GARDENS NYC AFFINIA HOTEL,8,1
MOTT HAVEN COMMUNITY CENTER,7,0
1199 FUTURE OF AMERICA LEARNING CENTER,10,0
PIER 76 NYPD VIOLATION TOW SVC,10,1
SOUND VIEW HOUSES BUILDING 11,9,0
CHELSEA RECREATION CENTER,7,1
FAIRVIEW CEMETERY,6,0
FRANCE MISSION TO UN,5,1
"UNITY PLAZA 17,24,25A BUILDING 2",17,0
PS 39 PLAYGROUND,7,0
DSNY SPRING STREET SALT SHED,8,1
CHAPPETTO SQUARE,6,0
AMUNDSEN CIRCLE,5,0
CAYMAN ISLANDS TOURISM,7,1
WARDS ISLD PED BR OVR HARLEM RIV,11,1
NANSEN LODGE,6,0
QUEENSBRIDGE FAMILY HEALTH CENTER,7,0
CO-OP ELEMENTARY SCHOOL,7,0
FENIMORE-LEFFERTS BUILDING 18,12,0
BRONX SHORE FIELD 3,8,1
WOODSTOCK HOUSE,4,1
ENGINE 237,6,0
NEW MT CALVARY BAPTIST CHURCH,10,1
SAMUEL CITY HOUSES BUILDING 45,10,1
SPANISH EVANGELICAL BAPTIST CHURCH,10,1
QUEENS LUTHERAN SCHOOL,7,0
FRENCH DU ST ESPRIT CHURCH,8,1
COLUMBIA UNIVERSITY NORTHERN CORNER BUILDING,7,1
HIGHLAND PARK,4,0
MARINE AVIATION PIER 9,8,0
FIRST STREET GARDEN,4,1
RAOUL WALLENBERG PLAYGROUND,8,1
LOWER EAST SIDE I BUILDING 5,8,1
MANHATTAN SPANISH CHURCH 7 DAY ADVENTIST,12,1
BLACKWELL PLAYGROUND,5,1
PS 375 JACKIE ROBINSON SCHOOL,10,0
ASTORIA HOUSES,5,0
GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,10,0
ITALIAN CONSULATE,5,1
TROOP C ARMORY,6,0
TO PARK ROW OVER ROSE STREET,7,1
LA QUINTA INN & SUITES HOTEL CENTRAL PARK,11,1
FORT WASHINGTON PARK,4,1
IVORY COAST VISA OFFICE,6,1
PROSPECT PARK LAFAYETTE MONUMENT,10,0
ULMER PARK LIBRARY,5,0
AMSTERDAM HOUSES BUILDING 8,9,1
LOWER EAST SIDE I SITE 1,8,1
SNUG HARBOR BUILDING P,7,0
MEXICAN TOURISM OFFICE,6,1
MANHATTAN COMMUNITY BOARD 9,9,1
JUDITH C WHITE SENIOR CENTER,7,1
ST MARY'S PARK HOUSES BLDG 4,13,0
BEDFORD AVE OVER LIRR BAY RIDGE,9,0
WYNDHAM GARDEN HOTEL LAGUARDIA SOUTH,11,0
PARK AVE VIADUCT OVER E   42 ST,12,1
ST STEPHEN OF HUNGARY SCHOOL,8,1
HIGH HOPES CHILDCARE,6,0
JAMAICA CONSULATE,6,1
WEST SHORE PLAZA,6,0
THE NEW SCHOOL 20 ST RESIDENCE,9,1
FOREST AVE FTBR OVR STRM IN PRK,12,0
LIOTTI IKEFUGI PLAYGROUND,10,0
GERRITSEN INLET,7,0
HILTON GARDEN INN TIMES SQUARE CENTRAL,8,1
FOREST PK DR OV LIRR MONTAUK DIV,11,0
CON EDISON 59 ST STATION,10,1
REDEEMER LUTHERAN CHURCH,9,0
PS 155 WILLIAM PACA,9,1
JHS 143 ELEANOR ROOSEVELT,14,1
NEW VANDERBILT REHABILITATION & CARE CENTER,13,0
NATIONAL MUSEUM OF MATHEMATICS,5,1
THE THEATER CENTER,5,1
RACHEL HABER COHEN PLAYGROUND,9,0
COLUMBIA UNIVERSITY FAMILY ANNEX CHILDCARE & NURSERY SCHOOL,12,1
COLUMBIA UNIVERSITY BUTLER LIBRARY,6,1
138 STREET COMMUNITY GARDEN,7,0
FRANKLIN PLAZA BUILDING 1,8,1
NORTH BRONX SCHOOL OF EMPOWERMENT,9,0
GOODHUE PARK,5,0
JUDITH S KAYE HIGH SCHOOL,8,1
MARINER'S HARBOR HSES BLDG 19,15,0
WALD HOUSES BUILDING 11,9,1
MARINER'S HARBOR HOUSES,9,0
ST JOSEPHS PARISH DAY SCHOOL,8,0
RFK BRIDGE BRONX PED AND BIKE PATH,11,1
PIER 36 EMS BUILDING,7,1
ORCHARD BEACH,5,0
MT SINAI CHRISTIAN CHURCH,6,0
FORLINIS RESTAURANT,5,1
LINDEN HOUSES BUILDING 13,10,0
RED STAIRS TIMES SQUARE,6,1
NYC BOARD OF ELECTIONS,6,0
WOODHAVEN - RICHMOND HILL VOLUNTEER AMBULANCE CORP,15,0
PS 36 J C DRUMGOOLE,10,0
GENEVA SCHOOL OF MANHATTAN EAST CAMPUS,11,1
ETHIOPIAN MISSION TO UN,7,1
ELLIOTT HOUSES,6,1
WAGNER COLLEGE PARKING,6,0
RIVIERA PLAZA,6,0
GORMAN PLAYGROUND,5,0
SWEDEN MISSION TO UN,6,1
GREENE PLAYGROUND,5,0
EDENWALD HOUSES BUILDING 41,10,0
THE NARROWS,4,0
YMCA CHINATOWN HOUSTON STREET CENTER,10,1
5 PRECINCT,5,1
MANHATTAN COLLEGE BROADWAY PARKING GARAGE,11,0
BARNARD COLLEGE REID HALL,8,1
I-278 BQE WB OVER JORALEMON ST,14,0
LONG ISLAND CITY LIBRARY,5,0
RANDALLS ISLAND FIELD 74,9,1
NEPTUNE FUEL STOP,6,0
WAGNER COLLEGE HORRMANN LIBRARY,9,0
OUR LADY QUEEN MARTYRS CHURCH,8,1
LINCOLN CENTER,4,1
WHITESTONE POINT LIGHT 1,7,0
HUNTER COLLEGE BROOKDALE CAMPUS NORTH BUILDING,9,1
PILGRIM CATHEDRAL OF HARLEM,11,1
FORNINO RESTAURANT GREENPOINT,7,0
CYPRESS HILLS CEMETERY,7,0
STAR SPANGLED PLAYGROUND HANDBALL COURT,10,0
BRONX COMMUNITY COLLEGE SNOW HALL,7,0
MAX MELTZER TOWER,6,1
COLUMBUS PARK COMFORT STATION 2,8,1
COLUMBIA UNIVERSITY JEROME GREENE HALL,9,1
STATEN ISLAND ZOO REPTILE WING,10,0
NORTH 5 STREET PIER AND PARK,8,0
SARA D ROOSEVELT PARK,8,1
COLUMBIA UNIVERSITY MEDICAL CENTER HAMMER HEALTH SCIENCES CENTER,11,1
ISABELLA CHILD DAY CARE CENTER,8,1
PS 57 HUBERT H HUMPHREY,11,0
PEOPLES BAPTIST CHURCH,8,0
DEP WARDS ISLAND POWER CENTER 5 A,10,1
LOTT PARK,4,0
SOUTH SHORE EDUCATIONAL CAMPUS,6,0
HOLY ROSARY CHURCH,5,0
UNIVERSITY PLAZA NURSERY SCHOOL,7,1
PERETZ SQUARE,4,1
HILTON GARDEN INN HOTEL LONG ISLAND CITY,9,0
CHRISTOPHER COLUMBUS EDUCATIONAL CAMPUS,7,0
CON EDISON SOUTH GATE,7,0
RIVERSIDE PARK SOUTH 59-79,12,1
WASHINGTONS WALK,4,0
FIRST HOUSES BUILDING 7,7,1
PELHAM PARKWAY HOUSES BLDG 17,13,0
SCANLAN HS BUILDING 9 A,8,0
LEONARD LIBRARY,4,0
COOPER PARK HOUSES BLDG 1,11,0
CHURCH OF THE INTERCESSION,7,1
FORDHAM U TENNIS HOUSE,8,0
CHILDRENS MAGICAL GARDEN,8,1
RICHARD ROGERS THEATRE,4,1
SAINT PAUL'S CHAPEL CEMETERY,10,1
CONGREGACION DE MITA OF NY,9,1
MARANTHA FRENCH 7 DAY CHURCH,9,0
AFGHANISTAN MISSION TO UN,8,1
CORPORAL ALLAN F KIVLEHAN PARK,11,0
NEW YORK UNIVERSITY CENTER FOR NEURAL SCIENCE,9,1
RIVERBANK PARK HANDBALL COURTS,9,1
ROCKEFELLER UNIVERSITY WEISS RESEARCH BUILDING,10,1
CARDONA SQUARE,4,0
HHP SB RAMP   79 ST OV BOAT BSIN,14,1
SCHURZ PARK MAIN ENTRANCE,8,1
JACOB JOFFE FIELDS,7,0
ABC NEWS 7 W 66 ST,10,1
MORGAN GENERAL MAIL FACILITY,6,1
WEST BRIGHTON POOL,6,0
SCHOOL FOR FUTURE LEADERS,6,0
BROWNSVILLE ASCEND MIDDLE SCHOOL,9,0
KIMBERLY HOTEL,5,1
WAGNER COLLEGE PARKER TOWERS RESIDENCE HALL,10,0
EPISCOPAL ASCENSION CHURCH,8,1
131 SAINT NICHOLAS AVE HOUSES,10,1
CORPUS CHRISTI CHURCH,6,0
WASHINGTON,2,1
BETHEL UNITED METHODIST CHURCH,7,0
FREEMAN GARDEN,4,0
ST THOMAS LIBERAL CATHOLIC CHURCH,8,1
5 ST SLOPE GARDEN,6,1
CRYSTAL PAVILION BUILDING,7,1
EQUALITY CHARTER HIGH SCHOOL,7,0
ED KOCH QUEENSBORO BR LOWER RDWY,12,0
BHUTAN MISSION TO UN,7,1
BRONX SHORE FIELD 47,9,1
CATHARINE TURNER RICHARDSON PARK,9,0
MARITIME COLLEGE STOCK ROOM,7,0
BAY PLAZA SHOPPING CENTER,6,0
MARKHAM GARDENS,5,0
JAPAN MISSION TO UN,5,1
PARK SOUTH,3,1
GRAMERCY ARTS HIGH SCHOOL,7,1
THE PUCK BUILDING,5,1
WASHINGTON HOUSES BUILDING 1,7,1
NYCHA MANHATTAN BOROUGH MANAGEMENT OFFICE,11,1
DR RICHARD GREEN LEARNING CENTER HEAD START RANDALL AVE,11,0
WHITEHALL FERRY TERMINAL,7,1
FLUSHING MUNICIPAL PARKING FIELD,6,0
CITY COLLEGE OF NY NORTH ACADEMIC CENTER,9,1
WAGNER COLLEGE CAMPUS HALL,7,0
BREUKELEN HOUSES BUILDING 2,9,0
SUCCESS ACADEMY CHARTER SCHOOL HARLEM 1,10,1
PELHAM PLAYGROUND FOR ALL CHILDREN CONCESSIONS,10,0
AUDREY JOHNSON DAY CARE CENTER,7,0
KINGS COUNTY DISTILLERY LAB & OFFICE,10,0
PERSHING SQUARE CAFE,5,1
ST MARYS ROMANIAN ORTHODOX CHURCH,11,0
W FARMS SQ PLAZA APARTMENTS BUILDING 3,12,0
CHARLIES PLACE,5,0
BRONX RIVER HOUSES ADD BLDG 12,13,0
ASIA SOCIETY & MUSEUM,5,1
CUNY RALPH BUNCHE INSTITUTE FOR INTERNATIONAL STUDIES,11,1
UNITED ACADEMY HS,4,0
RAVENSWOOD HOUSES BUILDING 3,9,0
BELVEDERE HOTEL,5,1
MCKENNA SQUARE,5,1
BLUE HERON PARK,5,0
NEW YORK UNIVERSITY CENTER FOR NEURAL SCIENCE,9,1
SOTOMAYOR HOUSES BUILDING 19,11,0
RIKERS ISLAND AMKC ADMIN BLDG,10,0
MT SINAI CHRISTIAN CHURCH,6,0
HIGH LINE W 28 ST ENTRANCE,10,1
GLOBAL COMMUNITY CHARTER SCHOOL,6,1
LINCOLN HOUSES BUILDING 7,8,1
HOLCOMBE RUCKER PARK,7,1
SOUNDVIEW PARK PLAYGROUND METCALF AVE COMFORT STATION,12,0
W FARMS SQUARE REHABS BLDG 3,13,0
THOMAS JEFFERSON POOL,5,1
CENTRAL PARK WEST AREA A,6,1
BRYANT PARK,5,1
PENN STATION,4,1
OTTENDORFER LIBRARY,6,1
ENGINE 34 LADDER 21,11,1
HARMONIE CLUB,5,1
PS 67 MOHEGAN SCHOOL,9,0
BRONX HOUSING COURT,5,0
ASSER LEVY POOL,6,1
WILLOUGHBY PLAYGROUND COMFORT STATION,8,0
IGLESIA JOVENES CRISTIANOS CHURCH,11,0
CLINTON HOUSES BUILDING 5,8,1
PETER COOPER VILLAGE - 370 FA,10,1
UNION TPKE OV J ROBINSON PARKWAY,9,0
BUCKLEY SCHOOL 74 STREET BUILDING,9,1
TATHAM HOUSE,5,1
CROTONA PARK POOL,6,0
KING TOWERS BUILDING 8,7,1
SAMUEL CITY HOUSES BUILDING 13,10,1
CLINTON HOUSES BUILDING 1,8,1
PS 69 PLAYGROUND,7,0
ED KOCH QUEENSBORO BR LOWER RDWY,12,1
GEORGE WASHINGTON HOTEL,4,1
MARINERS HARBOR YC DAYBEACON 2,12,0
WAGNER PLAYGROUND,6,1
YESHIVA UNIVERSITY HS GIRLS,7,0
ST CHRISTOPHERS SCHOOL,6,0
LIBERTY AVENUE WAR MEMORIAL,6,0
BROOKLYN BRIDGE PARK MAIN STREET PARK,8,0
COLLEGE OF STATEN ISLAND - BALL FIELD 2,11,0
BUSH TERMINAL UNIT G,7,0
INDIAN CONSULATE,4,1
EMERGENCY SERVICE UNIT 5,6,0
FENIMORE-LEFFERTS BUILDING 15,12,0
FDNY ACAD SUBWAY EXTR WOOD SHED,11,1
MARINER'S HARBOR HSES BLDG 15,15,0
JFK BUILDING 308,7,0
DSNY GARAGE BROOKLYN SOUTH 7,10,0
WSUR SITE C 589 AMSTERDAM AVE HOUSES,15,1
MACARTHUR PLAYGROUND,6,1
LEAVE IT BETTER KIDS GARDEN,6,0
EAST RIVER HOUSES BUILDING 8,8,1
TISCH CHILDRENS ZOO SPIDER WEB,11,1
BLAZED AND WILLOWBROOK ROADS TABLET,11,0
ENGINE 47,5,1
NRG GAS TURBINE OPERATIONS BUILDING,9,0
JUDITH S KAYE HIGH SCHOOL DISTRICT 79,12,1
GOVERNORS ISLAND THE HILLS,6,1
THE RIVERVIEW ELEMENTARY SCHOOL LONG ISLAND CITY,10,0
CHILDRENS AID SOCIETY EAST HARLEM CENTER,11,1
CASTLETON HILL MORAVIAN PRESCHOOL,9,0
SAMUEL SEABURY PLAYGROUND,8,1
A RUM NURSERY SCHOOL,6,0
VLADECK HOUSES BUILDING 19,10,1
POMONOK HOUSES BUILDING 5,9,0
YALDEINU SCHOOL,7,0
ST IGNATIUS SCHOOL,6,0
COOPER TRIANGLE,5,1
COMMODORE BARRY PARK SOFTBALL FIELD,10,0
BAY VIEW HOUSES BUILDING 10,9,0
WEST  191 ST PED TUNL OVER BDWY,13,1
CARVER HOUSES BUILDING 6,8,1
JACKIE ROBINSON PARK BANDSHELL,7,1
WATSON HOTEL,4,1
SKYLINE PLAYGROUND,5,0
RUSSIAN HOLY FATHERS CHURCH,8,1
HARLEM ACADEMY,4,1
BROWNSTONES HOUSES BUILDING 26,10,1
CONVENT GARDEN,4,1
A A LOW BUILDING,5,1
PERFORMING GARAGE,6,1
MONTE HERMON CHURCH,6,1
COLUMBIA UNIVERSITY MEDICAL CENTER BARD HALL,9,1
REMEMBRANCE PIER,6,1
CROTONA PR AREA S,7,0
GLENMORE PLAZA BUILDING 1,9,0
WAGNER HOUSES OFC,8,1
7 PRECINCT,5,1
THOMAS JEFFERSON PARK,5,1
PARAMOUNT HOTEL,4,1
GASOLINE ALLEY,6,0
CARLTON GREEN,4,0
RARITAN BAY LIGHT 42,8,0
CITY HALL SENIOR CENTER,5,1
NEW SCHOOL MANNES COLLEGE OF MUSIC,8,1
MORRIS PARK 7 DAY ADVENTIST CHURCH,10,0
STAPLETON PLAYGROUND POOL,7,0
DEP WARDS ISLAND CFN HEADQUARTERS,10,1
COMOROS MISSION TO UN,7,1
BIRCH WATHEN LENOX SCHOOL,10,1
HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,8,1
PS/IS 178 HOLLISWOOD,11,0
AMBER CHARTER SCHOOL,6,1
JHS 157 STEPHEN A HALSEY,12,0
PS 142 AMALIA CASTRO,10,1
COLUMBIA UNIVERSITY ITALIAN ACADEMY FOR ADVANCED STUDIES IN AMERICA,12,1
ST HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,8,1
PS 18 JOHN G WHITTIER,9,0
NEW YORK UNIVERSITY 19 UNIVERSITY PL,9,1
PEOPLES CATHEDRAL OF BROOKLYN,11,0
CHILDREN'S ZOO TICKET BOOTH,9,1
CLOVE LAKES PARK COMFORT STATION,8,0
PIER 66 A,6,1
FORSYTHE SATELLITE ACADEMY HIGH SCHOOL,10,1
DSNY GARAGE BROOKLYN SOUTH 6,10,0
CORONA TAXPAYERS ASSOCIATION GARDEN,8,0
KHALIL GIBRAN INTERNATIONAL ACADEMY,9,0
MACEDONIA CHRIST CHURCH,6,0
ODYSSEY HOUSE HAVEN,7,1
MULLALY PARK WOMENS BATHHOUSE,10,0
THEODORE ROOSEVELT EVENING HIGH SCHOOL M/W,14,0
PERCY E SUTTON EDUCATIONAL CAMPUS,8,1
CONGREGATION BETH HAMEDROSH HAGODOL WASHINGTON HEIGHTS,17,1
KNICKERBOCKER POST OFFICE,9,1
ST JOHNS EVANGELICAL LUTHERAN CHURCH,11,0
CLOVE LAKES PARK S AREA,8,0
W BRIGHTON I HOUSES BUILDING 8,11,0
FT TRYON PARK HISTORIC MARKER,9,1
FACING HISTORY SCHOOL,5,1
TEMPLE EMMANUEL,5,0
SUCCESS ACADEMY CHARTER SCHOOL BRONX 4 NEW YORK 2,14,0
IS 250 THE ROBERT F KENNEDY COMMUNITY MIDDLE SCHOOL,14,0
FRICK COLLECTION,4,1
RIVIERA PLAZA,6,0
JACKIE ROBINSON EDUCATIONAL COMPLEX,6,1
6 AVENUE ELEMENTARY SCHOOL,6,1
SAMUEL CITY HOUSES BUILDING 4,9,1
NEW HEIGHTS ACADEMY CHARTER SCHOOL,8,1
INWOOD HILL PARK GLACIAL POTHOLES,11,1
PENTECOSTAL MISSIONARY CHURCH CHRIST THE KING,11,1
STARLIGHT PARK BRONX RIVER HOUSE,8,0
FDNY EMS STATION 46,8,0
SNUG HARBOR NORTH GATE,7,0
MONACO MISSION TO UN,6,1
WILLIAMSBURG BRIDGE EB RB,7,1
MONTE HERMON CHURCH,6,1
SOUTH BRONX HEAD START SITE #2,9,0
ROCKAWAY REHABILITATION,7,0
FRANKLIN PLAZA EARLY CHILDHOOD CENTER,9,1
TUVALU MISSION TO UN,7,1
FERRARA BROTHERS COLLEGE POINT,7,0
EMPIRE STATE BUILDING,5,1
CONGREGATION BNAI ISRAEL OF MIDWOOD,11,0
BROOKLYN ARMY TERMINAL,6,0
MORRIS I HOUSES BUILDING 7,9,0
CARLTON PARK CROWNE AVENUE,7,0
VENEZUELA CONSULATE,6,1
TAFT DAY CARE CENTER,6,1
CLASON POINT GARDENS BLDG 46,12,0
POSEIDON PLAYGROUND,6,0
QUEENS COMMUNITY BOARD 6,7,0
FRENCH DU ST ESPRIT CHURCH,8,1
ST THOMAS CHURCH 5 AVE,7,1
DOE DISTRICT 75 CITYWIDE PROGRAMS,9,1
USTA PRACTICE COURT P5,7,0
CENTRAL PARK NAUMBURG BANDSHELL,8,1
BROOKLYN NAVY YARD - BUILDING 41,11,0
NORTH BROTHER ISLAND NORTH LIGHT 9,8,0
KISSENA PARK GOLF COURSE,6,0
CENTRAL PARK ZOO GIFT SHOP,7,1
LYONS POOL,4,0
LEXINGTON HOUSES BUILDING 4,8,1
YANKEE CLUBHOUSE STORE YANKEE STADIUM,12,0
CENTRAL PARK ZOO CENTRAL GARDEN,7,1
FRICK ART REFERENCE LIBRARY,6,1
AMERICANA INN HOTEL,6,1
BRIDGE PARK 1,5,0
DEVRY COLLEGE,4,0
FIRST HOUSES BUILDING 6,7,1
HINES PARK,4,0
MACYS HERALD SQUARE,6,1
STARLIGHT PARK,4,0
RICHMOND VALLEY ROAD OVER SIRT,8,0
FORDHAM U PARKING GARAGE,8,0
THE VILLAGE PRESCHOOL,5,0
BLOOMINGDALE PLAYGROUND,6,1
FOREST HILLS POST OFFICE,5,0
UNIVERSITY PLAZA NURSERY SCHOOL,7,1
BROADWAY LONG ISLAND POST OFFICE,7,0
SAW MILL PLAYGROUND,5,0
ALL MY CHILDREN DC 69 AV,9,0
PATHMARK NOSTRAND AV,7,0
PORT RICHMOND LIBRARY,5,0
HRA OCSS CENTER BRONX FAMILY COURT,10,0
OVER THE TRACKS TENNIS COURTS,9,1
